date,company,region,product_category,organic_traffic,direct_traffic,referral_traffic,paid_traffic,bounce_rate,avg_session_duration,pages_per_session,conversion_rate,email_sends,email_opens,email_clicks,social_posts,social_engagement,leads_generated,qualified_leads,opportunities,closed_deals,revenue,costs,marketing_spend,customer_acquisition_cost,customer_lifetime_value,nps,customer_satisfaction,support_tickets,resolution_time,active_users,feature_adoption_rate,churn_rate,expansion_revenue,gross_margin,marketing_roi,conversion_to_paid,email_engagement_rate,marketing_efficiency,clv_cac_ratio,year_month,quarter,year
2022-01-31,SaasCompany1,North,Enterprise,162835,62183,31091,46637,0.542683599069469,216.7484383522788,2.2887150389630886,0.047791350701293,11543,2931,541,42,4028,110,61,45,6,59099.0,40391.0,10403.0,159.59804570323908,2331.1702310347378,50.10793001345159,8.573049272055592,191,13.11097662115826,1117,0.5087980731851871,0.0404872920721449,8480.912254575122,0.31655357958679503,4.680957416129963,0.0545454545454545,0.046868231828814,5.680957416129963,14.606508624606711,2022-01,1,2022
2022-01-31,SaasCompany1,North,SMB,130162,53651,26825,40238,0.4854020244496951,120.63294546065477,4.6184341359646055,0.0442769401712771,9195,3616,621,38,3242,138,87,25,19,125413.0,34093.0,10689.0,136.53691082202545,1059.6612364202754,32.54392656807388,9.012480553934026,82,30.19268047801505,3020,0.6130030164337725,0.0312520194428516,9342.33176340649,0.7281541785939256,10.732902984376462,0.1376811594202898,0.0675367047308319,11.732902984376462,7.760987340643246,2022-01,1,2022
2022-01-31,SaasCompany1,North,Startup,119058,51618,25809,38713,0.4900513637770251,190.37205531242697,4.748708479745005,0.042095573287589,10509,5807,844,35,3473,118,103,36,23,147662.0,34674.0,29984.0,285.9047871556951,2388.4910884555457,53.854198313694354,7.992364405955147,152,34.67584440298345,1537,0.6076158805546469,0.0130545758551637,11986.49492942249,0.7651799379664369,3.9246931696905016,0.1949152542372881,0.0803121134265867,4.924693169690501,8.354148638843343,2022-01,1,2022
2022-01-31,SaasCompany1,South,Enterprise,171379,64307,32153,48230,0.4895714194131361,268.95785675058795,4.603943623972498,0.0486376736996733,6031,5901,1007,46,4405,231,72,42,17,83751.0,88972.0,20573.0,153.4259554586593,1950.902370713304,76.07563047723929,8.592113140678084,65,20.174528052747,3991,0.6284732329623399,0.0494658086594547,13743.191626568834,-0.06233955415457726,3.0709181937490886,0.0735930735930736,0.1669706516332283,4.070918193749089,12.715595382027622,2022-01,1,2022
2022-01-31,SaasCompany1,South,SMB,183703,71783,35891,53837,0.5087718420269518,288.9577736119269,3.621953603237861,0.0467053390914162,7723,6556,1307,40,3405,245,119,24,19,84552.0,49400.0,15177.0,154.74603973792674,1224.0888072418425,45.54701827243946,8.312768266773553,102,37.740134057921146,4302,0.4438105308416145,0.031493237459216,11902.72131825861,0.4157441574415744,4.571061474599723,0.0775510204081632,0.1692347533341965,5.571061474599723,7.910307813466003,2022-01,1,2022
2022-01-31,SaasCompany1,South,Startup,158525,63354,31677,47516,0.3971379808867926,220.3696493299334,3.6235176710436607,0.0456665236459163,10397,5879,1758,43,1113,126,149,30,12,62860.0,66173.0,26237.0,250.50943566178225,2442.775671820545,38.90186671921913,8.97871692447175,159,14.945266557911584,4329,0.7267921965547917,0.0440705537981755,11080.340845704855,-0.05270442252624881,1.395853184434196,0.0952380952380952,0.169087236702895,2.395853184434196,9.751232185595535,2022-01,1,2022
2022-01-31,SaasCompany1,East,Enterprise,166645,60896,30448,45672,0.4609514776559588,156.83639226789245,3.04032881983954,0.0499436567420701,8738,7384,1998,41,2507,224,63,49,20,96467.0,86084.0,21205.0,190.28692973812048,2110.462052659532,60.80978350839848,7.912365842725414,98,18.426543011966046,3835,0.6910710241873037,0.0238734320268744,11447.743159520673,0.10763266194657241,3.549257250648432,0.0892857142857142,0.2286564431219958,4.549257250648432,11.0909459496983,2022-01,1,2022
2022-01-31,SaasCompany1,East,SMB,183547,67607,33803,50705,0.5834715489875626,261.2086678229601,5.078993489671907,0.0495487220234941,5534,7531,836,45,4949,202,126,27,14,113662.0,71957.0,27611.0,277.7697453155798,2756.217522565966,69.06696722573255,7.309845589550331,133,9.422875632061418,3861,0.4665344198138283,0.026509172452031,12151.235233385263,0.36692122257218773,3.1165477527072545,0.0693069306930693,0.1510661366100469,4.1165477527072545,9.922670013735916,2022-01,1,2022
2022-01-31,SaasCompany1,East,Startup,119218,51110,25555,38332,0.4151642756986782,295.67546641257115,4.012587660061108,0.0425707443023692,10543,2684,592,24,1327,171,86,23,9,132303.0,63322.0,15859.0,130.93996592537735,1296.9891952728617,47.45090725263685,7.329604236469076,50,35.2363475505131,2876,0.4794762588546921,0.0427853336850963,7085.44415921096,0.5213865142891696,7.342455388107699,0.0526315789473684,0.0561510006639476,8.3424553881077,9.905220198484056,2022-01,1,2022
2022-01-31,SaasCompany1,West,Enterprise,183871,69355,34677,52016,0.3565010357821416,160.527995782434,4.870635487329874,0.0483847784215285,11956,5314,765,22,3787,121,147,58,14,99553.0,43670.0,27075.0,235.086640479682,2283.576159373398,32.62852449980062,7.739820324723552,87,44.15486078174404,1580,0.5113090129485887,0.0344903767011031,11761.5670390035,0.5613391861621447,2.6769344413665745,0.1157024793388429,0.0639846102375376,3.6769344413665745,9.713764060407176,2022-01,1,2022
2022-01-31,SaasCompany1,West,SMB,140641,54086,27043,40564,0.5782358937492174,238.16906843565997,3.251622556690549,0.0474568673744428,8219,4934,1016,30,3791,110,149,30,14,56833.0,30312.0,25666.0,136.41800235344778,1979.803037803155,79.96770144084138,8.279919742005106,59,13.294469117694968,3407,0.6662875670957829,0.0248554675368147,14905.592832688231,0.4666478982281421,1.214330242343957,0.1272727272727272,0.123616011680253,2.214330242343957,14.512769602604566,2022-01,1,2022
2022-01-31,SaasCompany1,West,Startup,168366,70437,35218,52827,0.5025024622439378,195.39946055645737,3.1584165565263267,0.0436243782380781,5046,6077,1429,25,4021,214,62,41,23,67749.0,77221.0,23075.0,268.1043815122717,2395.1921561493755,73.74687377336156,9.30441029450037,50,24.689606935125383,1661,0.6017253962984694,0.031996821040588,8943.478961270412,-0.1398101817000989,1.9360346695557964,0.1074766355140186,0.2831946095917558,2.9360346695557964,8.933804597444606,2022-01,1,2022
2022-02-28,SaasCompany1,North,Enterprise,212901,77997,38998,58497,0.3468678170315942,214.14239971774435,5.476322325471003,0.0531322225520319,6140,6597,991,33,2393,277,101,57,15,134787.0,40885.0,29995.0,126.46143723178253,2479.741206052596,49.17454737041584,7.484206329999974,146,23.26224158227453,2089,0.708534832595314,0.0207332577164949,13057.194356781847,0.6966695601207832,3.4936489414902483,0.0541516245487364,0.161400651465798,4.493648941490249,19.608674868273464,2022-02,1,2022
2022-02-28,SaasCompany1,North,SMB,164795,72728,36364,54546,0.3338046512373073,164.81828693419806,2.7957665622060746,0.0441063692953702,7591,4782,1345,28,1126,231,66,30,23,148881.0,71303.0,16282.0,141.26541533598197,2237.388797794794,71.86684147907766,9.328438012990071,167,44.46120764243682,3409,0.777565722402496,0.036639861860301,13310.794036529034,0.5210738777950175,8.143901240633829,0.0995670995670995,0.1771835067843498,9.143901240633829,15.838192189315741,2022-02,1,2022
2022-02-28,SaasCompany1,North,Startup,130537,56400,28200,42300,0.5094033292764202,296.12786779913966,5.186313670128326,0.0450514608117759,10380,6857,1930,47,2484,101,134,28,15,74215.0,34417.0,24386.0,149.48853084460603,1563.41402171642,64.15681577281728,7.356033668480673,174,16.453543197769612,2416,0.5339252564433961,0.0297296398033398,9543.948139198095,0.5362527790877855,2.043344541950299,0.1485148514851485,0.1859344894026975,3.043344541950299,10.4584212105315,2022-02,1,2022
2022-02-28,SaasCompany1,South,Enterprise,147351,62849,31424,47137,0.3310648315953957,143.64772364627146,2.0451219748130622,0.0456363750688393,9144,2432,1236,42,4237,206,52,30,22,54902.0,74424.0,25184.0,166.37275321559542,2758.780240543015,55.95374133578974,8.693966030526113,151,7.891577926818146,3682,0.5545802402889242,0.0398349638998888,5147.186889174008,-0.35557903172926303,1.1800349428208383,0.1067961165048543,0.1351706036745406,2.1800349428208388,16.581923345152727,2022-02,1,2022
